_respondentid.6,_startdate.6,_enddate.6,_optin.6,_incgen.primary.6,_incgen.primary.emp.6,_incgen.primary.indw.6,_incgen.primary.bus.6,_incgen.primary.rent.6,_incgen.primary.sell.6,_incgen.primary.other.6,_unempreason.6,_unempreason.other.6,_incgen.secondary.6,_incgen.secondary.indw.6,_incgen.secondary.bus.6,_incgen.secondary.rent.6,_incgen.secondary.sell.6,_incgen.secondary.other.6,_service.secondary.care.6,_service.secondary.clean.6,_service.secondary.deliver.6,_service.secondary.maint.6,_service.secondary.personal.6,_service.secondary.it.6,_service.secondary.drive.6,_service.secondary.prof.6,_service.secondary.create.6,_service.secondary.other.6,_emp.direct.6,_emp.service.clean.6,_emp.service.security.6,_emp.service.it.6,_emp.service.warehouse.6,_emp.service.other.6,_emp.hours.6,_emp.underwork.6,_emp.underwork.reason.6,_emp.underwork.other.6,_emp.paytype.6,_emp.annsalary.6,_emp.hourly.6,_emp.earnings.6,_satisfaction.emp.6,_indw.source.online.6,_indw.source.sm.6,_indw.source.class.6,_indw.source.agency.6,_indw.source.network.6,_indw.source.other.6,_indw.service.care.6,_indw.service.clean.6,_indw.service.deliver.6,_indw.service.maint.6,_indw.service.personal.6,_indw.service.it.6,_indw.service.drive.6,_indw.service.prof.6,_indw.service.create.6,_indw.service.other.6,_indw.month.6,_indw.howoften.6,_indw.numgig.6,_indw.hours.6,_indw.underwork.6,_indw.underwork.reason.6,_indw.underwork.other.6,_indw.hourly.6,_indw.busexpense.6,_indw.inc.total.6,_indw.earnings.6,_indw.reason.income.6,_indw.reason.extra.6,_indw.reason.maintskill.6,_indw.reason.newskill.6,_indw.reason.resume.6,_indw.reason.empwork.6,_indw.reason.network.6,_indw.reason.flex.6,_indw.reason.ownproj.6,_indw.reason.location.6,_indw.reason.boss.6,_indw.reason.hobby.6,_indw.reason.other.6,_indw.type.6,_indw.searchtime.6,_indw.concern.findwork.6,_indw.concern.getwork.6,_indw.concern.income.6,_indw.concern.fairpay.6,_indw.concern.latepay.6,_indw.concern.retire.6,_indw.concern.savemoney.6,_indw.concern.benefit.6,_indw.concern.taxrate.6,_indw.concern.debt.6,_indw.concern.taxlegal.6,_indw.concern.career.6,_indw.concern.discrimin.6,_indw.concern.other.6,_indw.benefit.life.6,_indw.benefit.paidsick.6,_indw.benefit.paidfam.6,_indw.benefit.retire.6,_indw.benefit.disability.6,_indw.benefit.unemployment.6,_indw.benefit.workercomp.6,_indw.benefit.health.6,_indw.traininterest.6,_indw.train.clientacq.6,_indw.train.clientmgmt.6,_indw.train.custservice.6,_indw.train.compskill.6,_indw.train.brand.6,_indw.train.timemgmt.6,_indw.train.financiallit.6,_indw.train.taxlegal.6,_indw.train.benioption.6,_indw.train.busowner.6,_indw.train.techskill.6,_indw.train.other.6,_indw.incdescribe.6,_satisfaction.indw.6,_indw.howlong.6,_bus.hours.6,_bus.inc.beforetax.6,_bus.busexpense.6,_bus.inc.aftertax.6,_bus.earnings.6,_satisfaction.bus.6,_rent.service.house.6,_rent.service.car.6,_rent.service.other.6,_rent.source.online.6,_rent.source.social.6,_rent.source.classified.6,_rent.source.personal.6,_rent.source.other.6,_rent.connect.online.6,_rent.connect.social.6,_rent.connect.classified.6,_rent.connect.personal.6,_rent.connect.other.6,_rent.inc.beforetax.6,_rent.busexpense.6,_rent.inc.aftertax.6,_rent.earnings.6,_sell.good.resale.6,_sell.good.handicraft.6,_sell.good.used.6,_sell.good.other.6,_sell.connect.ecomm.6,_sell.connect.social.6,_sell.connect.classified.6,_sell.connect.personal.6,_sell.connect.other.6,_sell.inc.total.6,_sell.busexpense.6,_sell.inc.aftertax.6,_sell.earnings.6,_unempearner.6,_unempearner.month.6,_unempearner.reason.6,_unempearner.reason.other.6,_harass.6,_harass.type.sexual.6,_harass.type.racial.6,_harass.type.undisclose.6,_harass.type.other.6,_emplpreference.6,_emplpreference.other.6,_opinionofinc.6,_finwellbeing.1.expense.6,_finwellbeing.1.securing.6,_finwellbeing.1.notenough.6,_finwellbeing.1.moneymgmt.6,_finwellbeing.1.gettingby.6,_finwellbeing.1.wontlast.6,_finwellbeing.2.gift.6,_finwellbeing.2.leftover.6,_finwellbeing.2.behind.6,_finwellbeing.2.controlife.6,_demo.age.6,_demo.gender.6,_demo.highestedu.6,_demo.hisplatinspanish.6,_demo.race.americanindian.6,_demo.race.asian.6,,_demo.race.nativehawaiian.6,_demo.race.white.6,_demo.race.other.6,_demo.race.undisclose.6,_geo.6,_geo.other.6
100969,2019-01-28 15:18:21,2019-01-28 15:29:33,Yes,Yes,An employee that got paid by an employer,,,,,,,,,,,,,,,,,,,,,,,,Direct employee of your employer,,,,,,35-50 hours per week,,,,Hourly Basis,,25.5,Based on calculations and records,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,2,I was looking for paid work but couldn’t find any,,No,,,,,A small business owner selling products,,I am getting by on my current income,Not at all,Very well,Not at all,Very well,Completely,Not at all,Sometimes,Often,Never,Never,27,Female,Some college but no degree,Yes,,,,,,Other,,New York City,
101188,2018-08-23 18:48:24,2018-12-17 12:01:01,Yes,Yes,An employee that got paid by an employer,,,,,,,,,,,,,,,,,,,,,,,,Direct employee of your employer,,,,,,15-34 hours per week,Yes,I needed time to attend school,,Hourly Basis,,20,Based on calculations and records,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,No,,,,,A paid employee of a company or organization,,I am getting by on my current income,Very well,Very little,Not at all,Very well,Very well,Very well,Often,Rarely,Rarely,Rarely,35,Female,Master’s Degree,No,,Asian,,,,,,San Francisco Bay Area,
101249,2018-11-20 17:30:51,2018-11-20 17:53:06,Yes,Yes,An employee that got paid by an employer,"A gig worker, independent contractor, consultant, or freelancer that got paid by providing services and completing gigs, contracts, or projects",,,,,,,,,,,,,,,,,,,,,,,Direct employee of your employer,,,,,,15-34 hours per week,Yes,I could only find part-time work,,Salary,22000,15,Best guess,8,,,,Through a staffing or temporary placement (temp) agency,,,,,,,,"IT Services - setting up printers, networks, programming, data entry, etc.",,,,,6 months,Three or four times a month,4,Varied a lot by week,,,,17,No,650,Best guess,,I wanted to earn extra money,,,,,,,,,,,,Ongoing or repeat work with a consistent set of clients,1-3 days,,,,1st Concern,,,,3rd Concern,,,2nd Concern,,,,,,,,,,,1,No,,,,,,,,,,,,,"It is an important component of my budget, but not essential",8,3 or more years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,No,,,,,A paid employee of a company or organization,,I am getting by on my current income,Very little,Somewhat,Very little,Very well,Completely,Very little,Never,Sometimes,Rarely,Rarely,50,Male,Doctoral Degree,No,,Asian,,,,,,San Francisco Bay Area,
100452,2019-04-11 12:42:20,2019-04-11 13:02:19,Yes,Yes,An employee that got paid by an employer,,,,,,,,,,,,,,,,,,,,,,,,Direct employee of your employer,,,,,,35-50 hours per week,,,,Hourly Basis,,15,Based on calculations and records,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,No,,,,,"A gig worker, independent contractor, or freelancer providing services",,I am getting by on my current income,Very little,Very well,Not at all,Very well,Very well,Very little,Rarely,Always,Rarely,Sometimes,20,Female,Some college but no degree,No,,Asian,,,,,,San Francisco Bay Area,
100752,2019-05-05 12:58:48,2019-05-05 13:21:08,Yes,No,,,,,,,I was doing unpaid work as an intern or volunteer,,No work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A paid employee of a company or organization,,I am getting by on my current income,Somewhat,Very little,Not at all,Somewhat,Somewhat,Somewhat,Rarely,Rarely,Rarely,Often,28,Male,Bachelor’s Degree (4-year degree),Yes,,,,,,Other,,New York City,
100749,2019-02-08 15:01:01,2019-02-08 19:18:22,Yes,Yes,An employee that got paid by an employer,"A gig worker, independent contractor, consultant, or freelancer that got paid by providing services and completing gigs, contracts, or projects",,,,,,,,,,,,,,,,,,,,,,,Direct employee of your employer,,,,,,More than 50 hours per week,,,,Hourly Basis,,30-35,Best guess,7,,,,,Through your personal networks / word-of-mouth referrals,,,,,,,"IT Services - setting up printers, networks, programming, data entry, etc.",,"Professional Services - consulting, advisory services, training, research, etc.",,,2 months,More than four times a month,3,15-34 hours per week,Yes,I could only find part-time work,,30,Yes,2200,Best guess,,I wanted to earn extra money,,,,,,I wanted more flexibility in my schedule,,,,,,Ongoing or repeat work with a consistent set of clients,1-2 weeks,,,1st Concern,2nd Concern,2nd Concern,,,,,,,,,,,3,,,,2,,1,Yes,,,,Computer / Internet Skills,,,Financial Literacy / Management / Planning,,,,Technical Skills,,"It is an important component of my budget, but not essential",6,6 months to 1 year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,No,,,,,A small business owner selling products,,I am getting by on my current income,Completely,Very little,Very little,Completely,Very little,Somewhat,Sometimes,Often,Rarely,Sometimes,37,Male,Master’s Degree,No,,,,,White,,,San Francisco Bay Area,
100694,2019-02-12 18:11:50,2019-02-12 18:23:33,Yes,Yes,An employee that got paid by an employer,,,,,,,,,,,,,,,,,,,,,,,,Direct employee of your employer,,,,,,35-50 hours per week,,,,Hourly Basis,,20,Based on calculations and records,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,No,,,,,A small business owner selling products,,I am getting by on my current income,Somewhat,Somewhat,Somewhat,Very well,Somewhat,Not at all,Sometimes,Always,Sometimes,Sometimes,33,Female,Bachelor’s Degree (4-year degree),No,,Asian,,,,,,San Francisco Bay Area,
100690,2019-02-15 18:21:00,2019-02-15 18:34:16,Yes,Yes,An employee that got paid by an employer,,,,,,,,,,,,,,,,,,,,,,,,Direct employee of your employer,,,,,,15-34 hours per week,Yes,I could only find part-time work,,Salary,"36,000",,Best guess,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,2,I was doing unpaid work as an intern or volunteer,,No,,,,,A paid employee of a company or organization,,I am getting by on my current income,Somewhat,Somewhat,Not at all,Very well,Very well,Very well,Rarely,Rarely,Sometimes,Sometimes,59,Female,Bachelor’s Degree (4-year degree),No,,,,,White,,,San Francisco Bay Area,
100894,2018-11-16 15:51:46,2018-11-16 16:01:39,Yes,Yes,An employee that got paid by an employer,,,,,,,,,,,,,,,,,,,,,,,,"Employed and paid by your employer but you worked by providing services for other companies, for example janitorial services, security services, or warehouse worker",,Security,,,,35-50 hours per week,,,,Hourly Basis,,15,Based on calculations and records,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,No,,,,,A paid employee of a company or organization,,I am getting by on my current income,Very well,Very little,Somewhat,Very well,Somewhat,Very little,Rarely,Often,Rarely,Often,50,Male,Bachelor’s Degree (4-year degree),No,American Indian or Alaska Native,,,,White,,,New York City,
100707,2019-02-13 15:42:39,2019-02-13 15:57:49,Yes,Yes,An employee that got paid by an employer,,,,,,,,,,,,,,,,,,,,,,,,Direct employee of your employer,,,,,,1-14 hours per week,No,,,Hourly Basis,,10.5,Based on calculations and records,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,3,Other (please specify),Hard to find temp work,No,,,,,A paid employee of a company or organization,,I am finding it difficult to live on my current income,Very little,Very little,Very little,Very well,Somewhat,Somewhat,Sometimes,Sometimes,Never,Rarely,23,Female,Bachelor’s Degree (4-year degree),No,,Asian,,,,,,Other (please specify),New York State
100326,2019-05-25 14:47:44,2019-05-25 15:03:15,Yes,Yes,An employee that got paid by an employer,,,,,,,,,,,,,,,,,,,,,,,,Direct employee of your employer,,,,,,15-34 hours per week,Yes,I could only find part-time work,,Hourly Basis,,20,Based on calculations and records,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,4,I needed time to attend a training program,,No,,,,,A paid employee of a company or organization,,I am getting by on my current income,Not at all,Very little,Very little,Somewhat,Completely,Completely,Sometimes,Sometimes,Often,Sometimes,40,Female,Master’s Degree,Yes,,,,,,Other,,New York City,
101144,2018-12-03 9:27:13,2018-12-03 9:39:29,Yes,Yes,An employee that got paid by an employer,"A gig worker, independent contractor, consultant, or freelancer that got paid by providing services and completing gigs, contracts, or projects",,,,,,,,,,,,,,,,,,,,,,,Direct employee of your employer,,,,,,15-34 hours per week,Yes,I could only find part-time work,,Hourly Basis,,16,Based on calculations and records,7,"Online work platforms - websites or apps such as Uber, Postmates, UpWork and Field Nation, etc.","Social media platforms - Facebook, LinkedIn, etc.",,,,,,,,,,"IT Services - setting up printers, networks, programming, data entry, etc.",,,,,3 months,Less than once a month,3,Varied a lot by week,,,,,No,,Best guess,,,,I wanted to develop new job skills,,I wanted to use this experience to get work as an employee,,I wanted more flexibility in my schedule,,,,,,Ongoing or repeat work with a consistent set of clients,I don’t know,1st Concern,,2nd Concern,3rd Concern,,,,,,,,,,,1,3,,4,,5,,2,No,,,,,,,,,,,,,"It is an important component of my budget, but not essential",8,I don’t know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,No,,,,,A paid employee of a company or organization,,I am getting by on my current income,Not at all,Somewhat,Not at all,Somewhat,Somewhat,Very little,Rarely,Rarely,Never,Rarely,24,Male,Associate Degree (2-year degree),No,,,,,,,I prefer not to disclose,San Francisco Bay Area,
100635,2019-02-21 11:55:54,2019-02-21 12:17:12,Yes,Yes,,,,,,Paid internship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,4,I needed time to attend school,,No,,,,,A paid employee of a company or organization,,I am finding it difficult to live on my current income,Somewhat,Very little,Very well,Not at all,Completely,Completely,Rarely,Often,Never,Always,23,Male,High School,No,,,,,White,,,San Francisco Bay Area,
101449,2018-11-07 10:52:57,2018-11-07 11:05:36,Yes,Yes,An employee that got paid by an employer,,,,,,,,,,,,,,,,,,,,,,,,Direct employee of your employer,,,,,,35-50 hours per week,,,,Salary,50000,,Based on calculations and records,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,No,,,,,A small business owner selling products,,I am getting by on my current income,Completely,Completely,Not at all,Not at all,Completely,Not at all,Never,Always,Never,Rarely,38,Male,Master’s Degree,No,,,,,White,Other,,New York City,
101375,2018-11-14 15:08:17,2018-11-14 15:46:35,Yes,Yes,An employee that got paid by an employer,"A gig worker, independent contractor, consultant, or freelancer that got paid by providing services and completing gigs, contracts, or projects",,,,,,,,,,,,,,,,,,,,,,,"Employed and paid by your employer but you worked by providing services for other companies, for example janitorial services, security services, or warehouse worker",,,IT,,,1-14 hours per week,No,,,Hourly Basis,,22,Based on calculations and records,3,"Online work platforms - websites or apps such as Uber, Postmates, UpWork and Field Nation, etc.",,,,Through your personal networks / word-of-mouth referrals,,,,,,,"IT Services - setting up printers, networks, programming, data entry, etc.",,,,,6 months,More than four times a month,32,Varied a lot by week,,,,38,Yes,12900,Based on calculations and records,I wanted gig work to be my main source of income,,,I wanted to develop new job skills,I wanted to use this experience to build my resume,I wanted to use this experience to get work as an employee,I wanted to network / meet people,I wanted more flexibility in my schedule,,,,,Her goal is to find a full time position through gig work contacts,Ongoing or repeat work with a consistent set of clients,4-6 days,,,,,3rd Concern,,,,,,2nd Concern,,1st Concern,Being able to put gig work on your resume and not have it look like your employment is unstable.,,,,3,,,1,2,Yes,,,,,,,,Taxes and Other Legal Obligations,,,,,"It is an important component of my budget, but not essential",7,3 or more years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,2,I was looking for paid work but couldn’t find any,,Yes,Sexual,,,"Ageism also comes into play-- being a young female. They discriminate before knowing my skill level. People do not expect females to be technicians, and question my skills/knowledge, competence, and ability to lift heavy equipment.",A small business owner selling products,,I am getting by on my current income,Not at all,Not at all,Not at all,Not at all,Completely,Completely,Rarely,Never,Sometimes,Never,26,Female,Some college but no degree,No,,,,,,Other,,New York City,
101450,2019-02-09 11:53:10,2019-02-09 12:07:14,Yes,Yes,An employee that got paid by an employer,,,,,Apprenticeship,,,,,,,,,,,,,,,,,,,Direct employee of your employer,,,,,,15-34 hours per week,No,,,Hourly Basis,,17,Based on calculations and records,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,2,I needed time to attend school,,No,,,,,A paid employee of a company or organization,,I am getting by on my current income,Very little,Very well,Not at all,Completely,Very little,Somewhat,Sometimes,Rarely,Rarely,Never,22,Male,Some college but no degree,Yes,,,,,,Other,,San Francisco Bay Area,
101127,2018-11-16 14:08:39,2018-11-16 14:29:18,Yes,Yes,,"A gig worker, independent contractor, consultant, or freelancer that got paid by providing services and completing gigs, contracts, or projects",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Online work platforms - websites or apps such as Uber, Postmates, UpWork and Field Nation, etc.",,,,,,,,,,,,,"Professional Services - consulting, advisory services, training, research, etc.",,Education,1 month,Less than once a month,2,15-34 hours per week,No,,,40,No,18000,Best guess,I wanted gig work to be my main source of income,,,,,,,,,I wanted to choose where I worked,I wanted to be my own boss,,,Ongoing or repeat work with a consistent set of clients,1-2 weeks,,,,,,,,3rd Concern,2nd Concern,,1st Concern,,,,2,3,,4,,,,1,Yes,,,,,,,,Taxes and Other Legal Obligations,,,,,It is essential for meeting my basic needs,10,3 or more years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,No,,,,,"A gig worker, independent contractor, or freelancer providing services",,I am getting by on my current income,Very little,Very little,Not at all,Very well,Somewhat,Very little,Sometimes,Often,Sometimes,Sometimes,28,Male,Bachelor’s Degree (4-year degree),Yes,,,,,White,,,San Francisco Bay Area,
101078,2018-12-06 16:01:52,2018-12-06 16:23:58,Yes,Yes,An employee that got paid by an employer,,,,,,,,,,,,,,,,,,,,,,,,Direct employee of your employer,,,,,,35-50 hours per week,,,,Hourly Basis,,13.4,Based on calculations and records,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,4,I needed time to attend a training program,,No,,,,,A paid employee of a company or organization,,I am getting by on my current income,Completely,Not at all,Somewhat,Somewhat,Completely,Completely,Always,Never,Sometimes,Often,37,Female,Associate Degree (2-year degree),Yes,,,,,,Other,,New York City,
100980,2019-01-28 15:05:00,2019-01-28 15:16:55,Yes,Yes,An employee that got paid by an employer,,,,,,,,,,,,,,,,,,,,,,,,Direct employee of your employer,,,,,,35-50 hours per week,,,,Hourly Basis,,25,Based on calculations and records,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,1,I was looking for paid work but couldn’t find any,,No,,,,,A paid employee of a company or organization,,I am living comfortably on my current income,Somewhat,Somewhat,Not at all,Somewhat,Somewhat,Very well,Rarely,Always,Sometimes,Sometimes,30,Female,Master’s Degree,No,,,,,White,,,New York City,
100450,2019-04-09 8:59:20,2019-04-09 11:24:16,Yes,Yes,An employee that got paid by an employer,,,,,,,,,,,,,,,,,,,,,,,,Direct employee of your employer,,,,,,15-34 hours per week,No,,,Hourly Basis,,12.5,Based on calculations and records,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,No,,,,,A small business owner selling products,,I am living comfortably on my current income,Somewhat,Very well,Not at all,Completely,Not at all,Somewhat,Never,Always,Never,Never,17,Male,Some high school - did not complete,I prefer not to disclose,,,,Native Hawaiian or Pacific Islander,,Other,,San Francisco Bay Area,
101033,2018-11-16 16:50:12,2018-11-16 17:01:16,Yes,Yes,An employee that got paid by an employer,,,,,,,,,,,,,,,,,,,,,,,,Direct employee of your employer,,,,,,15-34 hours per week,No,,,Hourly Basis,,13,Based on calculations and records,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,No,,,,,A paid employee of a company or organization,,I am getting by on my current income,Not at all,Very well,Not at all,Very well,Very well,Somewhat,Never,Often,Never,Never,21,Male,Associate Degree (2-year degree),No,,Asian,,,,,,New York City,
100786,2019-05-05 12:49:55,2019-05-05 12:58:47,Yes,Yes,An employee that got paid by an employer,,,,,,,,,,,,,,,,,,,,,,,,Direct employee of your employer,,,,,,35-50 hours per week,,,,Salary,58500,,Based on calculations and records,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,0.5,I was looking for paid work but couldn’t find any,,No,,,,,A paid employee of a company or organization,,I am living comfortably on my current income,Very well,Somewhat,Not at all,Very well,Very little,Not at all,Rarely,Always,Never,Always,24,Male,Bachelor’s Degree (4-year degree),Yes,,,,,,Other,,New York City,
100747,2019-02-06 17:10:31,2019-02-06 17:17:44,Yes,No,,,,,,,I was looking for paid work but couldn’t find any,,No work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A paid employee of a company or organization,,I am finding it very difficult to live on my current income,Somewhat,Not at all,Completely,Very little,Very well,Completely,Sometimes,Rarely,Rarely,Rarely,39,Female,Associate Degree (2-year degree),No,,,,,White,,,San Francisco Bay Area,
100938,2019-01-28 14:51:22,2019-01-28 15:12:13,Yes,Yes,An employee that got paid by an employer,,,,,,,,,,,,,,,,,,,,,,,,"Employed and paid by your employer but you worked by providing services for other companies, for example janitorial services, security services, or warehouse worker",,,IT,,,35-50 hours per week,,,,Hourly Basis,,18,Best guess,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,1,I was looking for paid work but couldn’t find any,,No,,,,,A paid employee of a company or organization,,I am living comfortably on my current income,Not at all,Completely,Not at all,Completely,Completely,Not at all,Never,Often,Never,Never,27,Male,Bachelor’s Degree (4-year degree),Yes,,,,,,Other,,New York City,
100882,2019-04-02 9:35:23,2019-04-02 11:19:55,Yes,Yes,,"A gig worker, independent contractor, consultant, or freelancer that got paid by providing services and completing gigs, contracts, or projects",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Through your personal networks / word-of-mouth referrals,,,,,,,"IT Services - setting up printers, networks, programming, data entry, etc.",,"Professional Services - consulting, advisory services, training, research, etc.",,,6 months,Three or four times a month,18,15-34 hours per week,Yes,I could only find part-time work,,14,Yes,3500,Best guess,I wanted gig work to be my main source of income,,,,,,,,,,,,,Ongoing or repeat work with a consistent set of clients,1-3 days,,3rd Concern,,,2nd Concern,,,,,,,,1st Concern,,2,,,,,,,1,Yes,Client Acquisition,,,,Personal Branding,,,,,,Technical Skills,,"It is an important component of my budget, but not essential",7,Less than 6 months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,6,I was looking for paid work but couldn’t find any,,No,,,,,A paid employee of a company or organization,,I am getting by on my current income,Somewhat,Somewhat,Very little,Somewhat,Somewhat,Very little,Rarely,Often,Never,Rarely,22,Male,High School,Yes,,,,,White,,,New York City,
100350,2019-05-15 13:45:00,2019-05-15 14:20:01,Yes,Yes,,"A gig worker, independent contractor, consultant, or freelancer that got paid by providing services and completing gigs, contracts, or projects",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Through your personal networks / word-of-mouth referrals,,,,,,,,,,,Bake cakes,6 months,Less than once a month,4,Varied a lot by week,,,,10,Yes,300,Best guess,,,,,,,,,,,,Just for fun as a hobby or to make good use of extra time,,One-off projects with various clients,I don’t know,,,,1st Concern,,,2nd Concern,,,,3rd Concern,,,,,2,3,,,,,1,Yes,,,,,Personal Branding,Time Management,,Taxes and Other Legal Obligations,Understanding and Researching Benefits Options,Becoming A Business Owner,,,"It is nice to have, but I could live comfortably without it",7,I don’t know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,3,I needed time to attend school,,No,,,,,A paid employee of a company or organization,,I am finding it difficult to live on my current income,Somewhat,Very well,Very well,Somewhat,Somewhat,Not at all,Never,Always,Never,Rarely,21,Female,High School,I prefer not to disclose,,,,,,,I prefer not to disclose,New York City,
101029,2018-11-15 16:24:25,2018-11-15 16:50:08,Yes,Yes,An employee that got paid by an employer,,,,,,,,,,,,,,,,,,,,,,,,Direct employee of your employer,,,,,,15-34 hours per week,No,,,Hourly Basis,,13.5,Based on calculations and records,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,2,Other (please specify),Taking a summer break,No,,,,,A small business owner selling products,,I am getting by on my current income,Completely,Somewhat,Somewhat,Completely,Somewhat,Not at all,Never,Often,Rarely,Always,20,Male,High School,No,,Asian,,,,,,New York City,
